	tags
北京软银赛富投资顾问有限公司	投融资
中科招商创业投资管理有限公司	投融资
德丰杰-龙脉中国基金	投融资
创新工场	投融资
联想投资有限公司	投融资
兰馨亚洲投资集团	投融资
上海华盈创业投资基金管理有限公司	投融资
渣打银行（香港）有限公司	投融资
红杉资本中国基金	投融资
普凯投资基金（Prax Capital）	投融资
卓凡创业投资公司（Jovan Ventures	投融资
清华科技园创业投资有限公司	投融资
晨兴科技投资公司	投融资
百奥维达（上海）投资咨询有限公司	投融资
智基创投股份有限公司	投融资
IDG技术创业投资基金	投融资
深圳市创新投资集团有限公司	投融资
德同中国投资基金（DT Capital Partners）	投融资
成为基金	投融资
富达国际创业投资有限公司	投融资
华平创业投资有限公司	投融资
江苏高科技投资集团	投融资
盈富泰克创业投资公司	投融资
集富创业投资（香港）有限公司	投融资
华登太平洋创业投资管理有限公司	投融资
美国梧桐投资公司	投融资
美国中经合集团	投融资
高盛亚洲	投融资
上海联创投资管理有限公司	投融资
安永	财务税务
毕马威	财务税务
德勤	财务税务
普华永道	财务税务
德勤会计师事务所	财务税务
天职国际会计师事务所	财务税务
信永中和会计师事务所	财务税务
安永会计师事务所	财务税务
致同会计师事务所	财务税务
毕马威会计师事务所	财务税务
天健会计师事务所	财务税务
立信会计师事务所	财务税务
瑞华会计师事务所	财务税务
天健	财务税务
天职国际	财务税务
大华会计师事务所	财务税务
立信	财务税务
信永中和	财务税务
瑞华	财务税务
中信银行	银行
财务税务	银行
汇丰银行	银行
建设银行	银行
招商银行	银行
花旗银行	银行
汇丰银行	银行
中国银行	银行
平安银行	银行
农业银行	银行
摩拜	交通出行
滴滴	交通出行
罗思韦尔电气	车联网及硬件
齐家网	装修装潢
家居就	装修装潢
土巴兔	装修装潢
奥园	商业房产
保利	商业房产
碧桂园	商业房产
滨江	商业房产
海外	商业房产
恒大	商业房产
华夏幸福	商业房产
佳兆业	商业房产
金地	商业房产
金科	商业房产
金茂	商业房产
蓝光	商业房产
龙光	商业房产
龙湖	商业房产
绿城中国	商业房产
绿地	商业房产
荣盛	商业房产
融创中国	商业房产
融信	商业房产
世茂	商业房产
泰禾	商业房产
万科	商业房产
新城	商业房产
旭辉	商业房产
雅居乐	商业房产
阳光城	商业房产
正荣	商业房产
中国海外集团	商业房产
中梁	商业房产
中南	商业房产
华润置地	商业房产
恒大地产	商业房产
保利发展	商业房产
融创	商业房产
中海地产	商业房产
绿地地产	商业房产
博文房地产评估造价集团有限公司	土地估价
深圳市国策房地产土地估价有限公司	土地估价
深圳市戴德梁行土地房地产评估有限公司	土地估价
深圳市鹏信资产评估土地房地产估价有限公司	土地估价
中证房地产评估造价集团有限公司	土地估价
深圳市世联土地房地产评估有限公司	土地估价
北京仁达房地产评估有限公司	土地估价
深圳市同致诚土地房地产估价顾问有限公司	土地估价
安诺优达	生物技术
百迈客	生物技术
贝瑞和康	生物技术
博奥生物	生物技术
达安基因	生物技术
鼎晶生物	生物技术
凡迪生物	生物技术
泛生子	生物技术
海普洛斯	生物技术
瀚海基因	生物技术
华大基因	生物技术
华因康基因	生物技术
吉凯基因	生物技术
吉因加	生物技术
金唯智	生物技术
金域检验	生物技术
鹍远基因	生物技术
乐土精准医疗	生物技术
美吉生物	生物技术
美因基因	生物技术
明码生物	生物技术
诺禾致源	生物技术
燃石医学	生物技术
世和基因	生物技术
首度基因	生物技术
思路迪	生物技术
拓普基因	生物技术
碳云智能	生物技术
天昊基因	生物技术
希望组	生物技术
鑫诺美迪	生物技术
壹基因	生物技术
奕真生物	生物技术
裕策生物	生物技术
云健康	生物技术
中源协和	生物技术
39健康网	健康保健
阿里健康	健康保健
春雨医生	健康保健
丁香园	健康保健
好大夫在线	健康保健
健康之路	健康保健
平安好医生	健康保健
微医	健康保健
上海医药集团	健康保健
麦克森	健康保健
就医网	健康保健
CVS Health	健康保健
趣医网	健康保健
平安医疗	健康保健
3M	医疗器械及硬件
爱德华	医疗器械及硬件
爱德华生命科学	医疗器械及硬件
爱尔康	医疗器械及硬件
爱克发医疗	医疗器械及硬件
安络杰	医疗器械及硬件
奥林巴斯	医疗器械及硬件
奥林巴斯医疗	医疗器械及硬件
巴德	医疗器械及硬件
百特	医疗器械及硬件
百特国际	医疗器械及硬件
贝朗	医疗器械及硬件
贝朗医疗	医疗器械及硬件
碧迪	医疗器械及硬件
滨松	医疗器械及硬件
波士顿科学	医疗器械及硬件
蔡司医疗技术	医疗器械及硬件
丹纳赫	医疗器械及硬件
岛津	医疗器械及硬件
德尔格	医疗器械及硬件
德康医疗	医疗器械及硬件
登士柏	医疗器械及硬件
飞利浦	医疗器械及硬件
飞利浦医疗	医疗器械及硬件
费森尤斯	医疗器械及硬件
费森尤斯医疗	医疗器械及硬件
福田电子	医疗器械及硬件
富士	医疗器械及硬件
富士影像	医疗器械及硬件
豪洛捷	医疗器械及硬件
豪雅	医疗器械及硬件
洁定	医疗器械及硬件
捷迈邦美	医疗器械及硬件
康德乐	医疗器械及硬件
康乐保	医疗器械及硬件
康维德	医疗器械及硬件
柯尼卡美能达	医疗器械及硬件
科利耳	医疗器械及硬件
堀场	医疗器械及硬件
库珀医疗	医疗器械及硬件
罗氏诊断	医疗器械及硬件
迈心诺	医疗器械及硬件
美艾利尔	医疗器械及硬件
美敦力	医疗器械及硬件
美国精技	医疗器械及硬件
纳图斯医疗	医疗器械及硬件
欧麦斯-麦能	医疗器械及硬件
强生	医疗器械及硬件
日本广电	医疗器械及硬件
锐柯医疗	医疗器械及硬件
瑞思迈	医疗器械及硬件
赛默飞世尔	医疗器械及硬件
赛诺秀	医疗器械及硬件
山大华特	医疗器械及硬件
生物梅里埃	医疗器械及硬件
圣犹达医疗	医疗器械及硬件
施乐辉	医疗器械及硬件
史密斯	医疗器械及硬件
史密斯医疗	医疗器械及硬件
史塞克	医疗器械及硬件
史赛克	医疗器械及硬件
士卓曼	医疗器械及硬件
泰尔茂	医疗器械及硬件
泰利福医疗	医疗器械及硬件
瓦里安	医疗器械及硬件
瓦里安医疗系统	医疗器械及硬件
西门子医疗	医疗器械及硬件
雅培	医疗器械及硬件
医科达	医疗器械及硬件
依视路	医疗器械及硬件
英维康	医疗器械及硬件
远藤制药	医疗器械及硬件
Abiomed	医疗器械及硬件
Accuray	医疗器械及硬件
Align Technology	医疗器械及硬件
Alphatec	医疗器械及硬件
AngioDynamics	医疗器械及硬件
BD医疗	医疗器械及硬件
Bio-Rad	医疗器械及硬件
Cantel Medical	医疗器械及硬件
Cardiovascular Systems	医疗器械及硬件
Cepheid	医疗器械及硬件
CONMED	医疗器械及硬件
Consort Medical	医疗器械及硬件
Diasorin	医疗器械及硬件
DJO	医疗器械及硬件
Endologix	医疗器械及硬件
GE医疗	医疗器械及硬件
Getinge Group	医疗器械及硬件
Globus Medical	医疗器械及硬件
Greatbatch	医疗器械及硬件
Grifols	医疗器械及硬件
Guerbet	医疗器械及硬件
Heartware	医疗器械及硬件
ICU医疗	医疗器械及硬件
Immucor	医疗器械及硬件
Integra LifeSciences	医疗器械及硬件
Intuitive Surgical	医疗器械及硬件
LivaNova	医疗器械及硬件
Luminex	医疗器械及硬件
Meridian Bioscience	医疗器械及硬件
Merit Medical Systems	医疗器械及硬件
Miraca	医疗器械及硬件
Myriad Genetics	医疗器械及硬件
NuVasive	医疗器械及硬件
NxStage Medical	医疗器械及硬件
Orthofix International	医疗器械及硬件
Qiagen	医疗器械及硬件
Quidel	医疗器械及硬件
RTI Surgical	医疗器械及硬件
Sectra	医疗器械及硬件
Spectranetics	医疗器械及硬件
Stratec Biomedical Systems	医疗器械及硬件
Wright Medical Group	医疗器械及硬件
Ypsomed	医疗器械及硬件
艾伯维	制药
安进	制药
步长制药	制药
辅仁药业	制药
葛兰素史克	制药
广州医药	制药
哈药	制药
汉森制药	制药
华北制药	制药
华润三九医药	制药
华润双鹤	制药
辉瑞	制药
吉利德科学	制药
济川药业	制药
健民集团	制药
江苏豪森药业	制药
江苏恒瑞医药	制药
江西济民可信	制药
康美药业	制药
康芝药业	制药
葵花药业	制药
罗氏	制药
默沙东	制药
诺华	制药
齐鲁制药	制药
赛诺菲	制药
上海复星医药	制药
上海医药	制药
石药	制药
太极	制药
天津市医药	制药
天士力	制药
修正药业	制药
亚宝药业	制药
云南白药股	制药
正大天晴	制药
四川科伦药业股份有限公司	制药
四川科创医药集团有限公司	制药
上海复星医药(集团)股份有限公司	制药
云南白药集团股份有限公司	制药
辉瑞制药有限公司	制药
哈药集团股份有限公司	制药
江西济民可信集团有限公司	制药
扬子江药业集团	制药
康美药业股份有限公司	制药
修正药业集团股份有限公司	制药
CFDA	政府机构
FDA	政府机构
ICH	政府机构
WHO	政府机构
饿了么	美食餐饮
百度糯米	休闲娱乐
大麦网	休闲娱乐
美丽联合	休闲娱乐
新美大	休闲娱乐
永乐票务	休闲娱乐
沃尔玛	商场超市
小e微店	新零售
便利蜂	新零售
腾迈	传统广告
恒美	传统广告
阳狮广告	传统广告
4a	传统广告
奥美	传统广告
墨迹天气硬件部门	智能家居
极米	智能家居
空气检测	智能家居
无屏电视/智能投影	智能家居
空气果	智能家居
土曼	智能家居
智能手表	智能家居
蚁视科技	智能家居
智能钢琴	智能家居
壹台钢琴	智能家居
虚拟现实头盔	智能家居
High Fidelity	智能家居
戴尔	消费电子
海尔	消费电子
柯达	消费电子
联想	消费电子
美满科技	消费电子
普联技术	消费电子
三洋电机中国	消费电子
神州数码	消费电子
索尼	消费电子
CVT电子	消费电子
Dell	消费电子
kodak	消费电子
SONY	消费电子
TP-LINK	消费电子
德州仪器	芯片半导体
豪威半导体	芯片半导体
华大电子	芯片半导体
联发科	芯片半导体
美国模拟器件	芯片半导体
英特尔	芯片半导体
ADI	芯片半导体
Intel	芯片半导体
MTK	芯片半导体
TI	芯片半导体
比特大陆	芯片半导体
中电34所	仪器仪表
瑞典ENEA	嵌入式
周立功单片机	嵌入式
北京华虹	集成电路
成都国腾实业	集成电路
展讯通信	集成电路
云之家	办公OA
铂金	人力资源
雇得易	人力资源
汇通	人力资源
明源	人力资源
万古	人力资源
网龙	人力资源
智思	人力资源
中人网	人力资源
moka	人力资源
华信惠悦	人力资源
光辉国际	人力资源
FESCO	人力资源
上海外服	人力资源
任仕达	人力资源
米高蒲志	人力资源
韬睿	人力资源
万宝盛华	人力资源
KellyServices	人力资源
中智	人力资源
科锐	人力资源
君合	法律服务
方达	法律服务
海问	法律服务
观韬中茂	法律服务
竞天公诚	法律服务
金杜	法律服务
国浩	法律服务
中伦	法律服务
君泽君	法律服务
天元	法律服务
锦天城	法律服务
汉坤	法律服务
金诚同达	法律服务
北京品源知识产权代理有限公司	法律服务
隆天知识产权代理有限公司	法律服务
北京集佳知识产权代理有限公司	法律服务
中国专利代理（香港）有限公司	法律服务
中国国际贸易促进委员会专利商标事务所	法律服务
北京康信知识产权代理有限公司	法律服务
北京细软智谷知识产权代理有限公司	法律服务
广州华进联合专利商标代理有限公	法律服务
北京市柳沈律师事务所	法律服务
北京三友知识产权代理有限公司	法律服务
汉得信息	行业信息化及解决方案
华平信息	行业信息化及解决方案
有赞	行业信息化及解决方案
威胜	行业信息化及解决方案
oracle	数据服务
埃森哲	商业咨询
奥美公关国际	商业咨询
北大纵横	商业咨询
北京和君	商业咨询
贝恩	商业咨询
毕博	商业咨询
波士顿	商业咨询
博思智联	商业咨询
博斯	商业咨询
盖洛普	商业咨询
翰威特	商业咨询
惠普	商业咨询
基业昶青	商业咨询
久略	商业咨询
凯捷	商业咨询
凯捷安永	商业咨询
科尔尼	商业咨询
罗兰.贝格	商业咨询
罗兰贝格	商业咨询
麦肯锡	商业咨询
美世	商业咨询
锡恩	商业咨询
新华信	商业咨询
正略钧策	商业咨询
智越	商业咨询
德科（Adecco）	商业咨询
每日优鲜	生鲜食品
天天果园	生鲜食品
易果生鲜	生鲜食品
果小美	生鲜食品
猩便利	生鲜食品
哈米	生鲜食品
京东到家	生鲜食品
番茄	生鲜食品
百果园	生鲜食品
盒马鲜生	生鲜食品
领蛙	生鲜食品
小闪	生鲜食品
七只考拉	生鲜食品
易果	生鲜食品
达令APP	跨境电商
环球资源网	跨境电商
美淘村	跨境电商
网易考拉海淘	跨境电商
海淘	跨境电商
网易考拉	跨境电商
京东全球购	跨境电商
天猫全球购	跨境电商
欧美淘	跨境电商
囯际妈咪	跨境电商
苹果中国	奢侈品
Burberry	奢侈品
Prada	奢侈品
Dior	奢侈品
LVMH	奢侈品
Chanel	奢侈品
韩都衣舍官网	服装服饰
乐蜂网	化妆品
天天网	化妆品
贝贝网	母婴玩具
辣妈商城	母婴玩具
乐友孕婴童网上商城	母婴玩具
母婴之家	母婴玩具
美囤妈妈	母婴玩具
囯际妈咪	母婴玩具
宝贝衣橱	母婴玩具
蜜芽宝贝	母婴玩具
红孩子	母婴玩具
乐友	母婴玩具
美乐乐	家居家纺
尚品宅配	家居家纺
欧浦家具网	家居家纺
林氏木业	家居家纺
曲美家居	家居家纺
金海马	家居家纺
当当网	图书
孔夫子旧书网	图书
中国图书网	图书
金银岛	大宗商品
欧浦钢网	大宗商品
找钢网	大宗商品
找塑料网	大宗商品
1药网	医药
药房网	医药
1号店	生活用品
本来生活网	生活用品
敦煌网	生活用品
凡客诚品	生活用品
返利网	生活用品
钢银电商	生活用品
格瓦拉生活网	生活用品
广西糖网	生活用品
国联资源网	生活用品
国美在线	生活用品
好乐买	生活用品
慧聪网	生活用品
酒仙网	生活用品
聚美优品	生活用品
卷皮	生活用品
科通芯城	生活用品
口袋购物	生活用品
快塑网	生活用品
拉手网	生活用品
乐村淘	生活用品
链尚网	生活用品
马可波罗网	生活用品
麦包包	生活用品
麦考林	生活用品
麦乐购	生活用品
美菜网	生活用品
美丽说	生活用品
梦芭莎	生活用品
蜜芽	生活用品
名鞋库	生活用品
摩贝网	生活用品
蘑菇街	生活用品
拍鞋网	生活用品
趣玩网	生活用品
上品折扣	生活用品
生意宝	生活用品
时尚起义	生活用品
世界工厂网	生活用品
顺丰优选	生活用品
苏宁易购	生活用品
淘宝	生活用品
天猫	生活用品
沱沱工社	生活用品
万表网	生活用品
网易严选	生活用品
唯品会	生活用品
窝窝团	生活用品
我的钢铁网	生活用品
小红书	生活用品
新蛋网	生活用品
新居网	生活用品
阳光印网	生活用品
洋码头	生活用品
一呼百应	生活用品
易酒批	生活用品
银泰网	生活用品
优购网	生活用品
优信拍	生活用品
曰曰顺商城	生活用品
折海尔商城	生活用品
蜘蛛网	生活用品
中国供应商	生活用品
中国制造网	生活用品
中粮我买网	生活用品
走秀网	生活用品
钻石小鸟	生活用品
YOHO有货	生活用品
车易拍	二手交易
阿里巴巴	综合电商
京东	综合电商
苏宁	综合电商
亚马逊	综合电商
拼多多	综合电商
微软	系统工具
安得物流	货运物流
安吉物流	货运物流
安能聚创	货运物流
八达物流	货运物流
八方物流	货运物流
百世	货运物流
北京福田智科物流	货运物流
北京京粮物流	货运物流
渤海轮渡	货运物流
菜鸟网络	货运物流
沧州运输	货运物流
重庆港务物流	货运物流
达达配送	货运物流
达升物流	货运物流
德邦	货运物流
德邦物流	货运物流
点我达网络	货运物流
东方海外物流	货运物流
飞力达国际物流	货运物流
飞马国际供应链	货运物流
港中旅华贸国际物流	货运物流
贵阳货车帮	货运物流
哈密广汇物流	货运物流
海南海峡航运	货运物流
河北省物流产业	货运物流
河南鲜易供应链	货运物流
恒基达鑫国际	货运物流
恒通物流	货运物流
宏捷物流	货运物流
湖南一力	货运物流
华瑞物流	货运物流
华晓医药物流	货运物流
冀中能源国际物流	货运物流
佳吉快运	货运物流
嘉里大通物流	货运物流
建发物流	货运物流
江汽物流	货运物流
交运日红国际物流	货运物流
今天国际物流技术	货运物流
金陵交运	货运物流
锦程国际物流集团	货运物流
锦海捷亚国际货运	货运物流
京博物流	货运物流
京东物流	货运物流
林森物流	货运物流
领鲜物流	货运物流
漯河双汇物流投资	货运物流
蚂蚁物流	货运物流
美设国际货运	货运物流
宁波海运	货运物流
青岛日日顺物流	货运物流
青旅国际货运	货运物流
人人快送	货运物流
荣庆物流	货运物流
森华物流	货运物流
厦门国贸泰达物流	货运物流
山汉国际物流	货运物流
上港集团物流	货运物流
上海交运	货运物流
申通	货运物流
申通快递	货运物流
深圳市华鹏飞现代物流	货运物流
深圳市普路通供应链管理	货运物流
深圳正佳物流	货运物流
盛丰物流	货运物流
盛辉物流	货运物流
顺丰	货运物流
四川长虹民生物流	货运物流
苏宁物流	货运物流
苏汽国际物流	货运物流
天地汇供应链管理	货运物流
天津德利得供应链管理	货运物流
天津港物流发展	货运物流
天津五八到家生活服务	货运物流
万集物流	货运物流
萬林现代物流	货运物流
唯凯国际物流	货运物流
希杰荣庆物流供应链	货运物流
象屿速传供应链发展	货运物流
新杰物流	货运物流
新宁现代物流	货运物流
新武安钢铁集团	货运物流
许昌众荣冷链物流	货运物流
圆通	货运物流
圆通速递	货运物流
远成物流	货运物流
运满满	货运物流
韵达	货运物流
韵达控股	货运物流
长安民生物流	货运物流
长久物流	货运物流
招商局能源运输	货运物流
浙江百世物流	货运物流
振华物流	货运物流
正本物流	货运物流
郑明现代物流	货运物流
郑州交通运输集团有限责任公司	货运物流
中创物流	货运物流
中国厦门外轮代理	货运物流
中国石油天然气运输公司	货运物流
中国新兴交通物流	货运物流
中铁铁龙集装箱物流	货运物流
中通	货运物流
中通快递	货运物流
中外运	货运物流
中远海运物流	货运物流
三菱	汽车制造业
施耐德	汽车制造业
艾默生电气	通用设备制造业
爱默生电气	通用设备制造业
欧姆龙	通用设备制造业
通用电气	通用设备制造业
西门子	通用设备制造业
ABB	通用设备制造业
GE	通用设备制造业
三一重机	工程机械制造业
爱氏晨曦	食品
巴西食品	食品
邦吉	食品
保乐力加	食品
达利食品	食品
达能	食品
海天味业	食品
荷美尔食品	食品
华润	食品
皇家菲仕兰	食品
家乐氏	食品
金宝汤	食品
卡夫亨氏	食品
康尼格拉	食品
康师傅	食品
雀巢	食品
日本火腿	食品
三得利	食品
山崎面包	食品
上海梅林	食品
泰森食品	食品
通用磨坊	食品
统一	食品
万州国际	食品
万洲国际	食品
旺旺	食品
亿滋	食品
中国粮油	食品
中国食品	食品
ADM	食品
JBS	食品
尚品宅配	家具
